SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
MA,SREIBNPNCD,Uns Red NCD 9.12% Sr. IX,28/05/2020, , ,20/05/2020,20/05/2020,27/05/2020,INTEREST PAYMENT         
MB,SRTRANSFIN,BOND 9.71% PA SRN S-V,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
MF,BSLFTPOMDG,BIRLASLAMC - BSLFTPOMDG,22/05/2020, , , , , ,REDEMPTION               
MF,BSLFTPOMRG,BIRLASLAMC - BSLFTPOMRG,22/05/2020, , , , , ,REDEMPTION               
MF,BSLFTPOMRN,BIRLASLAMC - BSLFTPOMRN,22/05/2020, , , , , ,REDEMPTION               
MF,BSLFTPOMRQ,BIRLASLAMC - BSLFTPOMRQ,22/05/2020, , , , , ,REDEMPTION               
MF,BSLFTPOMDN,BIRLASLAMC - BSLFTPOMDN,22/05/2020, , , , , ,REDEMPTION               
MF,BSLFTPOMDQ,BIRLASLAMC - BSLFTPOMDQ,22/05/2020, , , , , ,REDEMPTION               
MF,BSLRIFS2DN,BIRLASLAMC - BSLRIFS2DN,22/05/2020, , , , , ,REDEMPTION               
MF,BSLRIFS2RG,BIRLASLAMC - BSLRIFS2RG,22/05/2020, , , , , ,REDEMPTION               
MF,BSLRIFS2RN,BIRLASLAMC - BSLRIFS2RN,22/05/2020, , , , , ,REDEMPTION               
MF,BSLRIFS2DG,BIRLASLAMC - BSLRIFS2DG,22/05/2020, , , , , ,REDEMPTION               
MF,BSLIFQPIDG,BIRLASLAMC - BSLIFQPIDG,22/05/2020, , , , , ,STP                      
MF,BSLIQPIRG,BSL IIF- QP - SI -RPG,22/05/2020, , , , , ,STP                      
MF,BSLIQPIRDP,BSL IIF- QP - SI -RPDP,22/05/2020, , , , , ,STP                      
MF,BSLIQPIIDP,BSL IIF- QP - SI -IPDP,22/05/2020, , , , , ,STP                      
MF,UTIRQP26P8,UTIAMC - UTIRQP26P8,26/05/2020, , , , , ,DIV/REDEMPTION           
MF,UTIRGR26P8,UTIAMC - UTIRGR26P8,26/05/2020, , , , , ,REDEMPTION               
MF,UTIRAP26P8,UTIAMC - UTIRAP26P8,26/05/2020, , , , , ,DIV/REDEMPTION           
MF,UTIRMP26P8,UTIAMC - UTIRMP26P8,26/05/2020, , , , , ,DIV/REDEMPTION           
MF,UTIDMP26P8,UTIAMC - UTIDMP26P8,26/05/2020, , , , , ,DIV/REDEMPTION           
MF,UTIDQP26P8,UTIAMC - UTIDQP26P8,26/05/2020, , , , , ,DIV/REDEMPTION           
MF,UTIDAP26P8,UTIAMC - UTIDAP26P8,26/05/2020, , , , , ,DIV/REDEMPTION           
MF,UTIDFP26P8,UTIAMC - UTIDFP26P8,26/05/2020, , , , , ,DIV/REDEMPTION           
MF,UTIDGR26P8,UTIAMC - UTIDGR26P8,26/05/2020, , , , , ,REDEMPTION               
