MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N6,IBUCCREDIT,SERENCD8.90%SRIIICIII&IV,       849.27,       859.80,       860.00,       859.80,       860.00,                    79971.40,93, ,7,       995.00,       576.00
N,N6,IBULHSGFIN,SEC RED NCD 8.90% SR. III,       820.00,       830.00,       839.98,       820.00,       820.71,                   213402.82,256, ,5,       999.00,       601.00
N,N6,ICFL,SEC RED NCD 10.50% SR. VI,       930.00,       930.00,       930.00,       930.00,       930.00,                    61380.00,66, ,9,      1020.00,       726.00
N,N6,L&TINFRA,BOND 8.30% PA CUM. S2,      2044.01,      2045.00,      2048.00,      2045.00,      2045.00,                  1456111.00,712, ,21,      2200.00,      1600.10
N,N6,NHAI,8.75% TAX FREE TR I S IIB,      1307.56,      1314.90,      1320.00,      1310.01,      1315.00,                   969577.31,736, ,22,      1347.90,      1101.00
N,N6,NHBTF2014,BOND 9.01%PA TF TR-I S 3B,      7172.00,      7172.00,      7172.00,      7172.00,      7172.00,                    71720.00,10, ,1,      7574.00,      6300.00
N,N6,NHBTF2023,NHB 8.93 NCD TR II SR 2 B,      6405.00,      6450.00,      6700.00,      6450.00,      6700.00,                   165000.00,25, ,2,      7477.00,      5851.51
N,N6,NHPC,8.92% SEC RED BOND S3B,      1371.00,      1373.70,      1398.99,      1372.00,      1398.99,                   823411.89,599, ,6,      1460.00,      1240.00
N,N6,NTPC,8.91%S-R-NCD SERIES 3B,      1415.50,      1406.01,      1406.01,      1406.01,      1406.01,                    49210.35,35, ,4,      1435.50,      1242.01
N,N6,SBIN,BOND 9.45% PA NON RET. S4,     10895.16,     10856.00,     10856.00,     10852.10,     10852.10,                    54274.10,5, ,4,     11575.00,     10060.05
N,N6,TATACAPHSG,SEC RED NCD 8.30% SR.III,      1020.00,      1028.00,      1028.00,      1028.00,      1028.00,                   102800.00,100, ,4,      1029.90,       800.00
N,N7,HUDCO,BOND 7.19% PA TAX FREE S2,      1299.00,      1105.00,      1145.00,      1105.00,      1145.00,                     9000.00,8, ,2,      1479.99,      1057.10
N,N7,IBUCCREDIT,SERENCD8.66%SRIVCIII&IV,       710.00,       701.00,       701.00,       701.00,       701.00,                     1402.00,2, ,1,       950.00,       600.00
N,N7,IREDA,7.74% TAX FREE NCD,      1230.00,      1230.00,      1230.00,      1230.00,      1230.00,                    24600.00,20, ,1,      1242.85,      1120.20
N,N7,NTPC,8.49% SEC NON-CUM RED NCD,        13.45,        13.45,        13.58,        13.45,        13.50,                   135365.30,10030, ,54,        15.00,        11.40
N,N8,IBULHSGFIN,SEC RED NCD 8.65% SR. V,       700.00,       700.00,       715.00,       700.00,       710.00,                    48930.00,69, ,4,       950.00,       515.00
N,N8,ICFL,SEC RED NCD SR. VIII,       700.00,       655.50,       700.00,       615.15,       699.61,                   177340.00,275, ,24,       990.00,       532.48
N,N8,IRFC,BOND 8.40% PA TF TI-SIIA,      1263.98,      1285.00,      1285.00,      1285.00,      1285.00,                     1285.00,1, ,1,      1589.80,      1140.00
N,N8,L&TFINANCE,SE RE NCD 9.1% SR.I OP II,      1023.00,      1023.00,      1023.00,      1017.06,      1017.06,                   151237.78,148, ,6,      1200.00,       901.00
N,N8,NHAI,TAX FREE7.39% SR.IB,      1149.00,      1149.00,      1149.00,      1149.00,      1149.00,                   229800.00,200, ,5,      1179.00,       925.60
N,N8,PFC,8.92% TAX FREE NCD,      1414.01,      1410.00,      1418.00,      1410.00,      1415.00,                    91700.00,65, ,5,      1429.00,      1242.00
N,N8,RECLTD,BOND 8.26% TAX FREE S1B,      1157.50,      1155.00,      1155.60,      1155.00,      1155.60,                   101685.40,88, ,4,      1220.00,      1000.00
