Sr.No,Symbol,Segment,Quantity Traded,Deliverable Quantity,% of Deliverable Quantity
777,KDDL,EQ,2073,1336,64.45
778,KEC,EQ,121119,56410,46.57
779,KECL,EQ,25655,16546,64.49
780,KEI,EQ,88773,64311,72.44
781,KELLTONTEC,EQ,67355,48084,71.39
782,KENNAMET,EQ,1007,661,65.64
783,KESORAMIND,EQ,139983,116671,83.35
784,KHADIM,EQ,47020,22714,48.31
785,KHANDSE,EQ,25,25,100.00
786,KICL,EQ,1340,983,73.36
787,KILITCH,EQ,3683,2173,59.00
788,KINGFA,EQ,1350,809,59.93
789,KIOCL,EQ,6063,3192,52.65
790,KIRIINDUS,EQ,119969,60965,50.82
791,KIRLFER,EQ,5600,4408,78.71
792,KIRLOSBROS,EQ,6921,4054,58.58
793,KIRLOSENG,EQ,8748,4719,53.94
794,KIRLOSIND,EQ,687,397,57.79
795,KITEX,EQ,56777,40326,71.03
796,KKCL,EQ,697,430,61.69
797,KMSUGAR,EQ,83684,44499,53.18
798,KNRCON,EQ,59552,26218,44.03
799,KOKUYOCMLN,EQ,35156,16870,47.99
800,KOLTEPATIL,EQ,36949,19087,51.66
801,KOPRAN,EQ,152607,108084,70.83
802,KOTAKBANK,EQ,5189775,1445483,27.85
803,KOTAKBKETF,EQ,1107821,687782,62.08
804,KOTAKGOLD,EQ,29637,21860,73.76
805,KOTAKNIFTY,EQ,42377,29172,68.84
806,KOTAKNV20,EQ,3560,2520,70.79
807,KOTAKPSUBK,EQ,5929,4131,69.67
808,KOTARISUG,EQ,19302,13811,71.55
809,KOTHARIPET,EQ,89606,65408,73.00
810,KOTHARIPRO,EQ,58144,32158,55.31
811,KPITTECH,EQ,997801,784924,78.67
812,KPRMILL,EQ,1001,672,67.13
813,KRBL,EQ,89464,65298,72.99
814,KREBSBIO,EQ,236178,72414,30.66
815,KSB,EQ,49195,40822,82.98
816,KSCL,EQ,242365,42849,17.68
817,KSK,EQ,444071,427390,96.24
818,KSL,EQ,11875,5507,46.37
819,KTKBANK,EQ,1638475,1110806,67.80
820,KUANTUM,EQ,231,150,64.94
821,LAKSHVILAS,EQ,231288,139951,60.51
822,LALPATHLAB,EQ,60350,27115,44.93
823,LAMBODHARA,EQ,1595,1205,75.55
824,LAOPALA,EQ,28034,16793,59.90
825,LAURUSLABS,EQ,496089,254339,51.27
826,LAXMIMACH,EQ,8096,6470,79.92
827,LEMONTREE,EQ,2638389,2156349,81.73
828,LFIC,EQ,1057,930,87.98
829,LGBBROSLTD,EQ,11801,7546,63.94
830,LGBFORGE,EQ,46869,46575,99.37
831,LIBERTSHOE,EQ,99887,25148,25.18
832,LICHSGFIN,EQ,7884854,1152964,14.62
833,LICNETFGSC,EQ,16590,12341,74.39
834,LICNETFN50,EQ,1455,442,30.38
835,LICNFNHGP,EQ,279,222,79.57
836,LINCOLN,EQ,36393,18788,51.63
837,LINCPEN,EQ,1013,547,54.00
838,LINDEINDIA,EQ,6947,3958,56.97
839,LIQUIDBEES,EQ,764852,597406,78.11
840,LIQUIDETF,EQ,13576,5942,43.77
841,LOKESHMACH,EQ,7713,6883,89.24
842,LOTUSEYE,EQ,1290,1191,92.33
843,LOVABLE,EQ,26884,19538,72.68
844,LSIL,EQ,1910289,1106787,57.94
845,LT,EQ,4609134,1841457,39.95
846,L&TFH,EQ,16695648,3386557,20.28
847,L&TFINANCE,N8,96,96,100.00
848,L&TFINANCE,NC,25,25,100.00
849,L&TFINANCE,NG,1025,1025,100.00
850,L&TFINANCE,NK,15,15,100.00
851,L&TFINANCE,NY,65,65,100.00
852,L&TFINANCE,Y1,67,67,100.00
853,L&TFINANCE,Y3,25,25,100.00
854,L&TFINANCE,Y5,150,150,100.00
855,L&TFINANCE,Y9,205,172,83.90
856,LTI,EQ,125113,56617,45.25
857,L&TINFRA,N2,10,10,100.00
858,L&TINFRA,N3,60,40,66.67
859,L&TINFRA,N6,247,238,96.36
860,LTMFEOF2R,MF,999,999,100.00
861,LTMFEOFR,MF,9000,9000,100.00
862,LTTS,EQ,68582,33995,49.57
863,LUMAXIND,EQ,9963,8121,81.51
864,LUMAXTECH,EQ,6178,4331,70.10
865,LUPIN,EQ,2372917,367949,15.51
866,LUXIND,EQ,45040,8015,17.80
