MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,GENUSPAPER,GENUS P&B LIMITED,         3.55,         3.60,         3.70,         3.55,         3.70,                   118662.95,32648,N, ,75,         7.95,         2.70
N,EQ,GENUSPOWER,GENUS POWER INFRASTRU LTD,        14.85,        15.25,        15.25,        14.60,        14.80,                  3113552.05,209122,N, ,927,        31.50,        12.50
N,EQ,GEOJITFSL,GEOJIT FINANCIAL SER L,        19.45,        19.30,        19.60,        19.05,        19.50,                  5896398.90,303283,N, ,562,        40.00,        14.90
N,EQ,GEPIL,GE POWER INDIA LIMITED,       373.60,       370.05,       380.00,       370.00,       377.95,                  5814018.35,15497,N, ,841,       938.00,       365.15
N,EQ,GESHIP,THE GE SHPG.LTD,       199.90,       203.00,       203.00,       198.90,       199.85,                 15836459.40,79177,N, ,2650,       369.40,       162.00
N,EQ,GET&D,GE T&D INDIA LIMITED,        62.40,        63.80,        65.50,        61.00,        63.70,                  5596937.80,86936,N, ,1526,       290.00,        59.30
N,EQ,GFLLIMITED,GFL LIMITED,        71.45,        72.75,        72.75,        69.70,        71.10,                  1386380.05,19636,N, ,374,      1144.00,        39.95
N,EQ,GHCL,GHCL LIMITED,        97.35,        98.20,       101.50,        97.05,        98.40,                 16983679.85,171711,N, ,2013,       277.45,        69.05
N,EQ,GICHSGFIN,GIC HOUSING FINANCE LTD,        63.80,        63.80,        68.40,        60.05,        67.15,                 21835811.25,333036,N, ,3098,       283.65,        51.10
N,EQ,GILLETTE,GILLETTE INDIA LTD,      4742.95,      4730.00,      4766.80,      4670.10,      4702.25,                 20003901.20,4251,N, ,1938,      8140.00,      4450.00
N,EQ,GINNIFILA,GINNI FILAMENTS LTD,         6.10,         6.00,         6.25,         5.95,         6.15,                   102550.40,16867,N, ,53,        15.00,         5.05
