GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
G,KAUSHALYA INFRA DEV LTD.,          .40,          .35,14.29
G,ALKALI METALS LTD,        44.25,        38.90,13.75
G,GP PETROLEUMS LIMITED,        46.90,        41.50,13.01
G,PARIN FURNITURE LIMITED,        67.20,        60.00,12
G,SEC RED NCD SR. IV,      1000.00,       900.00,11.11
G,TECHNO ELEC & ENG CO. LTD,       192.65,       174.05,10.69
G,ASTEC LIFESCIENCES LTD,       660.95,       600.90,9.99
G,SHREE DIGVIJAY CEM CO LTD,        37.20,        33.85,9.9
G,GNA AXLES LIMITED,       195.15,       177.70,9.82
G,SUNDARMAMC - M15RG,         5.04,         4.59,9.8
G,UNS RED NCD 9.30% SR. II,       700.00,       640.00,9.38
G,MINDA CORPORATION LTD,        59.15,        54.10,9.33
G,IFB INDUSTRIES LTD,       371.60,       340.40,9.17
G,ASTRAZENECA PHARMA IND LT,      2967.40,      2722.95,8.98
G,HI-TECH PIPES LIMITED,        81.10,        74.50,8.86
G,SOMA TEXTILES & INDUST LT,         1.85,         1.70,8.82
G,VIKAS WSP LIMITED,         4.40,         4.05,8.64
G,SHANTHI GEARS LTD,        82.60,        76.10,8.54
G,UCAL FUEL SYSTEMS LTD,        98.70,        91.10,8.34
G,CENTRAL DEPO SER (I) LTD,       242.55,       224.90,7.85
G,RICO AUTO INDUSTRIES LTD,        26.50,        24.65,7.51
G,LIC HOUSING FINANCE LTD,       248.75,       231.45,7.47
G,NORTH EAST CARRY CORP LTD,         4.40,         4.10,7.32
G,BIRLASLAMC - ABSLNN50ET,       255.65,       238.32,7.27
 , , , , 
L,IREDA 8.55NCDTR I SR II A,      1250.00,      1521.80,-17.86
L,SEC RED NCD 9.30% SR. 6B,       230.00,       266.00,-13.53
L,VIJI FINANCE LIMITED,          .35,          .40,-12.5
L,TATAAML - NETF,        93.59,       106.77,-12.34
L,BOND 7.19% PA TAX FREE S2,      1145.00,      1299.00,-11.86
L,CHEMBOND CHEMICALS LTD,       152.05,       167.85,-9.41
L,GAMMON INFRA PROJ LTD.,          .50,          .55,-9.09
L,CHROMATIC INDIA LTD,          .50,          .55,-9.09
L,GANGES SECURITIES LIMITED,        21.55,        23.70,-9.07
L,LTAMC - LTMFEOF2R,         7.45,         8.11,-8.14
L,SEC RED NCD 9.00% SR. II,       230.00,       250.00,-8
L,SEC RED NCD 9.50% SR. VII,       750.00,       809.00,-7.29
L,DANGEE DUMS LIMITED,        85.00,        91.00,-6.59
L,ARVIND FASHIONS LIMITED,       113.15,       121.10,-6.56
L,BETA DRUGS LIMITED,        44.00,        47.00,-6.38
L,SEC RED NCD 8.43% SR. III,       750.00,       800.00,-6.25
L,GLOBAL OFFSHORE SERV LTD,         3.10,         3.30,-6.06
L,SEC RED NCD 9.12% SR. VI,       731.00,       777.00,-5.92
L,IBVENTURES RS.1.10 PD UP,        21.80,        23.15,-5.83
L,SEC RED NCD 9.00% SR. VII,       665.00,       706.00,-5.81
L,KOTHARI PRODUCTS LTD,        40.00,        42.40,-5.66
L,BHANDARI HOSIERY EXP LTD,          .85,          .90,-5.56
L,SEC RED NCD 8.42% SR. I,       842.10,       890.00,-5.38
L,MOKSH ORNAMENTS LIMITED,        22.00,        23.25,-5.38
L,SEC RED NCD 10.04% SR.III,       900.00,       950.00,-5.26
L,SERENCD8.70%SRICI&II,      1068.00,      1127.25,-5.26
L,SEC RED NCD 9.70% SR. V,       950.00,      1002.00,-5.19
L,GEEKAY WIRES LIMITED,        73.35,        77.25,-5.05
L,A AND M JUMBO BAGS LTD,        10.45,        11.00,-5
L,PIL ITALICA LIFESTYLE LTD,         3.80,         4.00,-5
