,0,1
120,SHREE CEMENT LIMITED,SHREECEM
121,SIEMENS LIMITED,SIEMENS
122,SRF LIMITED,SRF
123,SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,SRTRANSFIN
124,SUN PHARMACEUTICAL INDUSTRIES LIMITED,SUNPHARMA
125,SUN TV NETWORK LIMITED,SUNTV
126,TATA CHEMICALS LIMITED,TATACHEM
127,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
128,TATA MOTORS LIMITED,TATAMOTORS
129,TATA POWER COMPANY LIMITED,TATAPOWER
130,TATA STEEL LIMITED,TATASTEEL
131,TATA CONSULTANCY SERVICES LIMITED,TCS
132,TECH MAHINDRA LIMITED,TECHM
133,TITAN COMPANY LIMITED,TITAN
134,TORRENT PHARMACEUTICALS LIMITED,TORNTPHARM
135,TORRENT POWER LIMITED,TORNTPOWER
136,TVS MOTOR COMPANY LIMITED,TVSMOTOR
137,UNITED BREWERIES LIMITED,UBL
138,UJJIVAN FINANCIAL SERVICES LIMITED,UJJIVAN
139,ULTRATECH CEMENT LIMITED,ULTRACEMCO
140,UPL LIMITED,UPL
141,VEDANTA LIMITED,VEDL
142,VOLTAS LIMITED,VOLTAS
143,WIPRO LIMITED,WIPRO
144,ZEE ENTERTAINMENT ENTERPRISES LIMITED,ZEEL
